,0,1,2,3
lca_score_newprocess,-0.556792400188356,-0.6516532424777195,-0.33031069489273773,-0.4353235925896355
lca_score_oldprocess,2.7369485720324302,2.7369485720324302,2.7369485720324302,2.7369485720324302
electrification,0.0,0.0,1.0,1.0
flex_demand,0.0,1.0,0.0,1.0
percentage_flex,0.2,0.2,0.2,0.2
cut_off_flex,0.05,0.05,0.05,0.05
hours_flex,8760.0,8760.0,8760.0,8760.0
