,el_ss,el_sl,hc_cc,hc_st,li_st,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
0,94.77464984999884,0.0,0.0,0.0,0.0,8501.344429553166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,19.754230000000017,5999.110860055199,1441.8593776562675,278.0195,0.0,0.0,1305.2913625007538,32837.3666009899
1,0.0,0.0,0.0,0.0,0.0,5647.795476553089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,19.776489999999963,5999.110860055199,1441.0314101399595,278.0195,0.0,0.0,1365.697637966022,33190.467139791086
2,0.0,0.0,0.0,0.0,0.0,4820.569085156032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.47598000000001,5999.110860055199,1375.0732572350935,278.0195,0.0,0.0,1229.2826170470664,32774.54246008688
3,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1870.114596676305,18.562719999999988,5999.110860055199,1369.2095991344013,278.0195,0.0,0.0,1338.785684418198,32690.328582979648
4,0.0,0.0,0.0,0.0,0.0,5477.473194440126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.642050000000022,5999.110860055199,1350.6262263763824,278.0195,0.0,0.0,1461.1898172637934,31005.80439036418
5,0.0,0.0,0.0,0.0,0.0,4810.04806743361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.773339999999962,5999.110860055199,1314.8015008970965,278.0195,0.0,0.0,1485.9876883194102,30625.857178596
6,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.9940597518473,18.884800000000013,5999.110860055199,1335.8353362741473,278.0195,0.00030972636773661126,9.065888271962228e-05,1643.1016799123597,29242.44807431486
7,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.4971086221672,18.961589999999994,5999.110860055199,1348.3198734626226,278.0195,294.45005856556355,88.37578907200542,1699.0142310725312,29143.592932963165
8,0.0,0.0,0.0,0.0,0.0,1648.0054263287466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.112669999999994,5999.110860055199,1360.3677733003947,278.0195,2335.8910817916612,696.599719768325,1664.3831427490659,31207.962194054224
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172290000000018,5999.110860055199,1383.4985298811025,278.0195,4913.805002686629,1471.9650922425612,1227.406751601067,34911.9556052658
