Name;Hour;Iron & steel;Non-metallic minerals;Transport equipment;Machinery;Mining & quarrying;Food, beverages & tobacco;Paper, pulp & printing;Wood & wood products;Construction;Textile & leather;Not elsewhere specified (industry);Chemical & petrochemical;Agriculture & forestry;Fishing
;1;0.000112611;8.18E-05;5.68E-05;5.68E-05;2.31E-05;6.46E-05;0.000112611;5.48E-05;5.48E-05;5.48E-05;5.48E-05;0.000114155;6.62E-05;6.62E-05
;2;0.000112611;8.16E-05;5.61E-05;5.61E-05;2.29E-05;6.62E-05;0.000112611;5.36E-05;5.36E-05;5.36E-05;5.36E-05;0.000114155;6.06E-05;6.06E-05
;3;0.000114186;7.97E-05;5.58E-05;5.58E-05;2.22E-05;6.49E-05;0.000114186;5.31E-05;5.31E-05;5.31E-05;5.31E-05;0.000114155;5.72E-05;5.72E-05
;4;0.000116549;7.83E-05;5.55E-05;5.55E-05;2.21E-05;6.45E-05;0.000116549;5.36E-05;5.36E-05;5.36E-05;5.36E-05;0.000114155;5.50E-05;5.50E-05
;5;0.000115761;7.82E-05;5.60E-05;5.60E-05;2.16E-05;6.57E-05;0.000115761;5.27E-05;5.27E-05;5.27E-05;5.27E-05;0.000114155;5.42E-05;5.42E-05
;6;0.000111036;7.88E-05;5.72E-05;5.72E-05;2.09E-05;6.59E-05;0.000111036;5.25E-05;5.25E-05;5.25E-05;5.25E-05;0.000114155;5.85E-05;5.85E-05
;7;0.000111824;7.77E-05;5.80E-05;5.80E-05;2.06E-05;6.69E-05;0.000111824;5.26E-05;5.26E-05;5.26E-05;5.26E-05;0.000114155;7.81E-05;7.81E-05
;8;0.000114974;7.56E-05;5.80E-05;5.80E-05;2.06E-05;6.69E-05;0.000114974;5.27E-05;5.27E-05;5.27E-05;5.27E-05;0.000114155;0.000131776;0.000131776
;9;0.000113399;7.32E-05;5.78E-05;5.78E-05;2.20E-05;6.80E-05;0.000113399;5.19E-05;5.19E-05;5.19E-05;5.19E-05;0.000114155;0.00019135;0.00019135
;10;0.000116549;7.13E-05;5.77E-05;5.77E-05;2.14E-05;6.98E-05;0.000116549;5.19E-05;5.19E-05;5.19E-05;5.19E-05;0.000114155;0.000187836;0.000187836
;11;0.000114974;6.96E-05;5.75E-05;5.75E-05;2.14E-05;7.06E-05;0.000114974;5.00E-05;5.00E-05;5.00E-05;5.00E-05;0.000114155;0.000152046;0.000152046
;12;0.000113399;6.94E-05;5.66E-05;5.66E-05;2.10E-05;7.10E-05;0.000113399;5.03E-05;5.03E-05;5.03E-05;5.03E-05;0.000114155;0.000152379;0.000152379
;13;0.000118124;6.86E-05;5.54E-05;5.54E-05;2.04E-05;7.16E-05;0.000118124;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;0.000135492;0.000135492
;14;0.000113399;6.86E-05;5.46E-05;5.46E-05;2.01E-05;7.23E-05;0.000113399;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;0.000108956;0.000108956
;15;0.000114974;6.85E-05;5.43E-05;5.43E-05;2.01E-05;7.26E-05;0.000114974;4.92E-05;4.92E-05;4.92E-05;4.92E-05;0.000114155;0.000100293;0.000100293
;16;0.000111824;6.88E-05;5.41E-05;5.41E-05;2.07E-05;7.33E-05;0.000111824;4.97E-05;4.97E-05;4.97E-05;4.97E-05;0.000114155;9.67E-05;9.67E-05
;17;0.000111036;7.03E-05;5.41E-05;5.41E-05;2.10E-05;7.27E-05;0.000111036;4.98E-05;4.98E-05;4.98E-05;4.98E-05;0.000114155;9.90E-05;9.90E-05
;18;0.000117336;7.18E-05;5.50E-05;5.50E-05;1.99E-05;7.39E-05;0.000117336;5.04E-05;5.04E-05;5.04E-05;5.04E-05;0.000114155;0.000123708;0.000123708
;19;0.000114974;7.29E-05;5.73E-05;5.73E-05;2.08E-05;7.72E-05;0.000114974;5.17E-05;5.17E-05;5.17E-05;5.17E-05;0.000114155;0.000177581;0.000177581
;20;0.000110249;7.30E-05;6.07E-05;6.07E-05;2.12E-05;7.89E-05;0.000110249;5.37E-05;5.37E-05;5.37E-05;5.37E-05;0.000114155;0.000201195;0.000201195
;21;0.000111036;7.26E-05;6.66E-05;6.66E-05;2.20E-05;8.18E-05;0.000111036;5.91E-05;5.91E-05;5.91E-05;5.91E-05;0.000114155;0.000160618;0.000160618
;22;0.000111036;7.39E-05;7.68E-05;7.68E-05;2.23E-05;8.61E-05;0.000111036;7.48E-05;7.48E-05;7.48E-05;7.48E-05;0.000114155;0.000117593;0.000117593
;23;0.000111824;7.63E-05;8.32E-05;8.32E-05;2.35E-05;8.65E-05;0.000111824;7.98E-05;7.98E-05;7.98E-05;7.98E-05;0.000114155;9.60E-05;9.60E-05
;24;0.000117336;7.89E-05;8.58E-05;8.58E-05;2.40E-05;8.70E-05;0.000117336;8.15E-05;8.15E-05;8.15E-05;8.15E-05;0.000114155;7.74E-05;7.74E-05
;25;0.000111824;8.22E-05;9.25E-05;9.25E-05;2.89E-05;9.11E-05;0.000111824;9.86E-05;9.86E-05;9.86E-05;9.86E-05;0.000114155;6.62E-05;6.62E-05
;26;0.000117336;8.30E-05;9.29E-05;9.29E-05;2.97E-05;9.39E-05;0.000117336;9.80E-05;9.80E-05;9.80E-05;9.80E-05;0.000114155;6.06E-05;6.06E-05
;27;0.000112611;8.34E-05;9.36E-05;9.36E-05;2.78E-05;9.47E-05;0.000112611;9.51E-05;9.51E-05;9.51E-05;9.51E-05;0.000114155;5.72E-05;5.72E-05
;28;0.000116549;8.39E-05;9.98E-05;9.98E-05;2.74E-05;9.90E-05;0.000116549;9.87E-05;9.87E-05;9.87E-05;9.87E-05;0.000114155;5.50E-05;5.50E-05
;29;0.000113399;8.68E-05;0.000109384;0.000109384;2.87E-05;0.000107856;0.000113399;9.96E-05;9.96E-05;9.96E-05;9.96E-05;0.000114155;5.42E-05;5.42E-05
;30;0.000112611;0.000103349;0.000129939;0.000129939;5.94E-05;0.000123435;0.000112611;0.00011389;0.00011389;0.00011389;0.00011389;0.000114155;5.85E-05;5.85E-05
;31;0.000115761;0.000139018;0.000154885;0.000154885;0.000148247;0.000138246;0.000115761;0.000143465;0.000143465;0.000143465;0.000143465;0.000114155;7.81E-05;7.81E-05
;32;0.000116549;0.000157871;0.000164257;0.000164257;0.000221073;0.00014645;0.000116549;0.000157447;0.000157447;0.000157447;0.000157447;0.000114155;0.000131776;0.000131776
;33;0.000114186;0.000157923;0.000163549;0.000163549;0.000251666;0.000151632;0.000114186;0.00016085;0.00016085;0.00016085;0.00016085;0.000114155;0.00019135;0.00019135
;34;0.000117336;0.000152983;0.000163825;0.000163825;0.000268631;0.000154208;0.000117336;0.000163455;0.000163455;0.000163455;0.000163455;0.000114155;0.000187836;0.000187836
;35;0.000111824;0.000154011;0.000163035;0.000163035;0.000270023;0.000155539;0.000111824;0.00015729;0.00015729;0.00015729;0.00015729;0.000114155;0.000152046;0.000152046
;36;0.000114186;0.000155373;0.00016407;0.00016407;0.000255138;0.000153482;0.000114186;0.000160333;0.000160333;0.000160333;0.000160333;0.000114155;0.000152379;0.000152379
;37;0.000111824;0.000147983;0.000161371;0.000161371;0.000256645;0.000151717;0.000111824;0.000161847;0.000161847;0.000161847;0.000161847;0.000114155;0.000135492;0.000135492
;38;0.000114186;0.000153108;0.000157148;0.000157148;0.000257379;0.000150591;0.000114186;0.00016203;0.00016203;0.00016203;0.00016203;0.000114155;0.000108956;0.000108956
;39;0.000116549;0.000155282;0.000154268;0.000154268;0.000257354;0.000145239;0.000116549;0.000160296;0.000160296;0.000160296;0.000160296;0.000114155;0.000100293;0.000100293
;40;0.000113399;0.00015374;0.000152014;0.000152014;0.000260492;0.000142441;0.000113399;0.000157324;0.000157324;0.000157324;0.000157324;0.000114155;9.67E-05;9.67E-05
;41;0.000114186;0.000145662;0.000147458;0.000147458;0.000191972;0.000137493;0.000114186;0.000148459;0.000148459;0.000148459;0.000148459;0.000114155;9.90E-05;9.90E-05
;42;0.000114974;0.000143152;0.000140532;0.000140532;0.000145629;0.00013484;0.000114974;0.000140401;0.000140401;0.000140401;0.000140401;0.000114155;0.000123708;0.000123708
;43;0.000115761;0.000142131;0.000137575;0.000137575;0.000132728;0.000134503;0.000115761;0.000135335;0.000135335;0.000135335;0.000135335;0.000114155;0.000177581;0.000177581
;44;0.000118124;0.000141316;0.000137517;0.000137517;0.000122994;0.000132943;0.000118124;0.00013587;0.00013587;0.00013587;0.00013587;0.000114155;0.000201195;0.000201195
;45;0.000118124;0.000142045;0.000133131;0.000133131;0.000107777;0.000131619;0.000118124;0.000133333;0.000133333;0.000133333;0.000133333;0.000114155;0.000160618;0.000160618
;46;0.000118124;0.00013956;0.00012661;0.00012661;7.66E-05;0.000128666;0.000118124;0.000126725;0.000126725;0.000126725;0.000126725;0.000114155;0.000117593;0.000117593
;47;0.000115761;0.000133231;0.0001217;0.0001217;6.48E-05;0.000122999;0.000115761;0.000119661;0.000119661;0.000119661;0.000119661;0.000114155;9.60E-05;9.60E-05
;48;0.000110249;0.000125181;0.000119808;0.000119808;6.73E-05;0.000121286;0.000110249;0.000115185;0.000115185;0.000115185;0.000115185;0.000114155;7.74E-05;7.74E-05
;49;0.000114974;0.000111857;0.000113086;0.000113086;7.19E-05;0.000121686;0.000114974;0.000119122;0.000119122;0.000119122;0.000119122;0.000114155;6.62E-05;6.62E-05
;50;0.000110249;0.000110239;0.000110334;0.000110334;7.57E-05;0.000121093;0.000110249;0.000116872;0.000116872;0.000116872;0.000116872;0.000114155;6.06E-05;6.06E-05
;51;0.000111824;0.000107873;0.000110108;0.000110108;7.10E-05;0.000120624;0.000111824;0.000114962;0.000114962;0.000114962;0.000114962;0.000114155;5.72E-05;5.72E-05
;52;0.000114186;0.000107881;0.000111159;0.000111159;6.52E-05;0.000122791;0.000114186;0.000118043;0.000118043;0.000118043;0.000118043;0.000114155;5.50E-05;5.50E-05
;53;0.000110249;0.000108417;0.000119609;0.000119609;6.71E-05;0.000128663;0.000110249;0.000120368;0.000120368;0.000120368;0.000120368;0.000114155;5.42E-05;5.42E-05
;54;0.000112611;0.000120784;0.000139654;0.000139654;0.000104496;0.000139369;0.000112611;0.000128023;0.000128023;0.000128023;0.000128023;0.000114155;5.85E-05;5.85E-05
;55;0.000111824;0.000147049;0.000156641;0.000156641;0.000196369;0.000149627;0.000111824;0.000158761;0.000158761;0.000158761;0.000158761;0.000114155;7.81E-05;7.81E-05
;56;0.000115761;0.000161644;0.000167582;0.000167582;0.000254864;0.000155599;0.000115761;0.000170631;0.000170631;0.000170631;0.000170631;0.000114155;0.000131776;0.000131776
;57;0.000114186;0.000158355;0.000167084;0.000167084;0.000271487;0.000158006;0.000114186;0.000173154;0.000173154;0.000173154;0.000173154;0.000114155;0.00019135;0.00019135
;58;0.000118124;0.00015113;0.000166774;0.000166774;0.0002779;0.000159504;0.000118124;0.000175164;0.000175164;0.000175164;0.000175164;0.000114155;0.000187836;0.000187836
;59;0.000118124;0.000150522;0.000166548;0.000166548;0.000277728;0.000159284;0.000118124;0.000170429;0.000170429;0.000170429;0.000170429;0.000114155;0.000152046;0.000152046
;60;0.000111036;0.000148943;0.000165577;0.000165577;0.000267135;0.000157843;0.000111036;0.000172816;0.000172816;0.000172816;0.000172816;0.000114155;0.000152379;0.000152379
;61;0.000118124;0.00014012;0.000162304;0.000162304;0.000268779;0.000156245;0.000118124;0.000171761;0.000171761;0.000171761;0.000171761;0.000114155;0.000135492;0.000135492
;62;0.000114974;0.000146963;0.000157547;0.000157547;0.000277068;0.000153434;0.000114974;0.000169001;0.000169001;0.000169001;0.000169001;0.000114155;0.000108956;0.000108956
;63;0.000111036;0.000147914;0.000153365;0.000153365;0.000277061;0.000147161;0.000111036;0.000165992;0.000165992;0.000165992;0.000165992;0.000114155;0.000100293;0.000100293
;64;0.000114974;0.000145219;0.000151112;0.000151112;0.000268007;0.000143589;0.000114974;0.000163173;0.000163173;0.000163173;0.000163173;0.000114155;9.67E-05;9.67E-05
;65;0.000116549;0.000137144;0.00014697;0.00014697;0.000209166;0.000139057;0.000116549;0.000154086;0.000154086;0.000154086;0.000154086;0.000114155;9.90E-05;9.90E-05
;66;0.000111824;0.000135119;0.000141198;0.000141198;0.000157215;0.000136464;0.000111824;0.00014723;0.00014723;0.00014723;0.00014723;0.000114155;0.000123708;0.000123708
;67;0.000118124;0.000132348;0.000137476;0.000137476;0.000145332;0.000136577;0.000118124;0.000141062;0.000141062;0.000141062;0.000141062;0.000114155;0.000177581;0.000177581
;68;0.000112611;0.00013091;0.000136809;0.000136809;0.000131991;0.00013456;0.000112611;0.000142139;0.000142139;0.000142139;0.000142139;0.000114155;0.000201195;0.000201195
;69;0.000117336;0.000130109;0.0001322;0.0001322;0.000112191;0.000132211;0.000117336;0.000138264;0.000138264;0.000138264;0.000138264;0.000114155;0.000160618;0.000160618
;70;0.000114186;0.000126828;0.000124698;0.000124698;8.38E-05;0.000128681;0.000114186;0.000131656;0.000131656;0.000131656;0.000131656;0.000114155;0.000117593;0.000117593
;71;0.000112611;0.000121857;0.000119312;0.000119312;7.34E-05;0.000122986;0.000112611;0.000124617;0.000124617;0.000124617;0.000124617;0.000114155;9.60E-05;9.60E-05
;72;0.000111036;0.000116007;0.000116595;0.000116595;7.27E-05;0.000119866;0.000111036;0.000121348;0.000121348;0.000121348;0.000121348;0.000114155;7.74E-05;7.74E-05
;73;0.000118124;0.000111857;0.000113086;0.000113086;7.19E-05;0.000121686;0.000118124;0.000119122;0.000119122;0.000119122;0.000119122;0.000114155;6.62E-05;6.62E-05
;74;0.000112611;0.000110239;0.000110334;0.000110334;7.57E-05;0.000121093;0.000112611;0.000116872;0.000116872;0.000116872;0.000116872;0.000114155;6.06E-05;6.06E-05
;75;0.000116549;0.000107873;0.000110108;0.000110108;7.10E-05;0.000120624;0.000116549;0.000114962;0.000114962;0.000114962;0.000114962;0.000114155;5.72E-05;5.72E-05
;76;0.000115761;0.000107881;0.000111159;0.000111159;6.52E-05;0.000122791;0.000115761;0.000118043;0.000118043;0.000118043;0.000118043;0.000114155;5.50E-05;5.50E-05
;77;0.000110249;0.000108417;0.000119609;0.000119609;6.71E-05;0.000128663;0.000110249;0.000120368;0.000120368;0.000120368;0.000120368;0.000114155;5.42E-05;5.42E-05
;78;0.000112611;0.000120784;0.000139654;0.000139654;0.000104496;0.000139369;0.000112611;0.000128023;0.000128023;0.000128023;0.000128023;0.000114155;5.85E-05;5.85E-05
;79;0.000110249;0.000147049;0.000156641;0.000156641;0.000196369;0.000149627;0.000110249;0.000158761;0.000158761;0.000158761;0.000158761;0.000114155;7.81E-05;7.81E-05
;80;0.000111824;0.000161644;0.000167582;0.000167582;0.000254864;0.000155599;0.000111824;0.000170631;0.000170631;0.000170631;0.000170631;0.000114155;0.000131776;0.000131776
;81;0.000110249;0.000158355;0.000167084;0.000167084;0.000271487;0.000158006;0.000110249;0.000173154;0.000173154;0.000173154;0.000173154;0.000114155;0.00019135;0.00019135
;82;0.000116549;0.00015113;0.000166774;0.000166774;0.0002779;0.000159504;0.000116549;0.000175164;0.000175164;0.000175164;0.000175164;0.000114155;0.000187836;0.000187836
;83;0.000111036;0.000150522;0.000166548;0.000166548;0.000277728;0.000159284;0.000111036;0.000170429;0.000170429;0.000170429;0.000170429;0.000114155;0.000152046;0.000152046
;84;0.000118124;0.000148943;0.000165577;0.000165577;0.000267135;0.000157843;0.000118124;0.000172816;0.000172816;0.000172816;0.000172816;0.000114155;0.000152379;0.000152379
;85;0.000111824;0.00014012;0.000162304;0.000162304;0.000268779;0.000156245;0.000111824;0.000171761;0.000171761;0.000171761;0.000171761;0.000114155;0.000135492;0.000135492
;86;0.000116549;0.000146963;0.000157547;0.000157547;0.000277068;0.000153434;0.000116549;0.000169001;0.000169001;0.000169001;0.000169001;0.000114155;0.000108956;0.000108956
;87;0.000116549;0.000147914;0.000153365;0.000153365;0.000277061;0.000147161;0.000116549;0.000165992;0.000165992;0.000165992;0.000165992;0.000114155;0.000100293;0.000100293
;88;0.000111036;0.000145219;0.000151112;0.000151112;0.000268007;0.000143589;0.000111036;0.000163173;0.000163173;0.000163173;0.000163173;0.000114155;9.67E-05;9.67E-05
;89;0.000113399;0.000137144;0.00014697;0.00014697;0.000209166;0.000139057;0.000113399;0.000154086;0.000154086;0.000154086;0.000154086;0.000114155;9.90E-05;9.90E-05
;90;0.000113399;0.000135119;0.000141198;0.000141198;0.000157215;0.000136464;0.000113399;0.00014723;0.00014723;0.00014723;0.00014723;0.000114155;0.000123708;0.000123708
;91;0.000112611;0.000132348;0.000137476;0.000137476;0.000145332;0.000136577;0.000112611;0.000141062;0.000141062;0.000141062;0.000141062;0.000114155;0.000177581;0.000177581
;92;0.000110249;0.00013091;0.000136809;0.000136809;0.000131991;0.00013456;0.000110249;0.000142139;0.000142139;0.000142139;0.000142139;0.000114155;0.000201195;0.000201195
;93;0.000111036;0.000130109;0.0001322;0.0001322;0.000112191;0.000132211;0.000111036;0.000138264;0.000138264;0.000138264;0.000138264;0.000114155;0.000160618;0.000160618
;94;0.000111824;0.000126828;0.000124698;0.000124698;8.38E-05;0.000128681;0.000111824;0.000131656;0.000131656;0.000131656;0.000131656;0.000114155;0.000117593;0.000117593
;95;0.000114974;0.000121857;0.000119312;0.000119312;7.34E-05;0.000122986;0.000114974;0.000124617;0.000124617;0.000124617;0.000124617;0.000114155;9.60E-05;9.60E-05
;96;0.000116549;0.000116007;0.000116595;0.000116595;7.27E-05;0.000119866;0.000116549;0.000121348;0.000121348;0.000121348;0.000121348;0.000114155;7.74E-05;7.74E-05
;97;0.000113399;0.000111857;0.000113086;0.000113086;7.19E-05;0.000121686;0.000113399;0.000119122;0.000119122;0.000119122;0.000119122;0.000114155;6.62E-05;6.62E-05
;98;0.000114186;0.000110239;0.000110334;0.000110334;7.57E-05;0.000121093;0.000114186;0.000116872;0.000116872;0.000116872;0.000116872;0.000114155;6.06E-05;6.06E-05
;99;0.000110249;0.000107873;0.000110108;0.000110108;7.10E-05;0.000120624;0.000110249;0.000114962;0.000114962;0.000114962;0.000114962;0.000114155;5.72E-05;5.72E-05
;100;0.000110249;0.000107881;0.000111159;0.000111159;6.52E-05;0.000122791;0.000110249;0.000118043;0.000118043;0.000118043;0.000118043;0.000114155;5.50E-05;5.50E-05
;101;0.000118124;0.000108417;0.000119609;0.000119609;6.71E-05;0.000128663;0.000118124;0.000120368;0.000120368;0.000120368;0.000120368;0.000114155;5.42E-05;5.42E-05
;102;0.000116549;0.000120784;0.000139654;0.000139654;0.000104496;0.000139369;0.000116549;0.000128023;0.000128023;0.000128023;0.000128023;0.000114155;5.85E-05;5.85E-05
;103;0.000116549;0.000147049;0.000156641;0.000156641;0.000196369;0.000149627;0.000116549;0.000158761;0.000158761;0.000158761;0.000158761;0.000114155;7.81E-05;7.81E-05
;104;0.000118124;0.000161644;0.000167582;0.000167582;0.000254864;0.000155599;0.000118124;0.000170631;0.000170631;0.000170631;0.000170631;0.000114155;0.000131776;0.000131776
;105;0.000114186;0.000158355;0.000167084;0.000167084;0.000271487;0.000158006;0.000114186;0.000173154;0.000173154;0.000173154;0.000173154;0.000114155;0.00019135;0.00019135
;106;0.000111036;0.00015113;0.000166774;0.000166774;0.0002779;0.000159504;0.000111036;0.000175164;0.000175164;0.000175164;0.000175164;0.000114155;0.000187836;0.000187836
;107;0.000111824;0.000150522;0.000166548;0.000166548;0.000277728;0.000159284;0.000111824;0.000170429;0.000170429;0.000170429;0.000170429;0.000114155;0.000152046;0.000152046
;108;0.000114186;0.000148943;0.000165577;0.000165577;0.000267135;0.000157843;0.000114186;0.000172816;0.000172816;0.000172816;0.000172816;0.000114155;0.000152379;0.000152379
;109;0.000117336;0.00014012;0.000162304;0.000162304;0.000268779;0.000156245;0.000117336;0.000171761;0.000171761;0.000171761;0.000171761;0.000114155;0.000135492;0.000135492
;110;0.000111036;0.000146963;0.000157547;0.000157547;0.000277068;0.000153434;0.000111036;0.000169001;0.000169001;0.000169001;0.000169001;0.000114155;0.000108956;0.000108956
;111;0.000111824;0.000147914;0.000153365;0.000153365;0.000277061;0.000147161;0.000111824;0.000165992;0.000165992;0.000165992;0.000165992;0.000114155;0.000100293;0.000100293
;112;0.000110249;0.000145219;0.000151112;0.000151112;0.000268007;0.000143589;0.000110249;0.000163173;0.000163173;0.000163173;0.000163173;0.000114155;9.67E-05;9.67E-05
;113;0.000111036;0.000137144;0.00014697;0.00014697;0.000209166;0.000139057;0.000111036;0.000154086;0.000154086;0.000154086;0.000154086;0.000114155;9.90E-05;9.90E-05
;114;0.000113399;0.000135119;0.000141198;0.000141198;0.000157215;0.000136464;0.000113399;0.00014723;0.00014723;0.00014723;0.00014723;0.000114155;0.000123708;0.000123708
;115;0.000110249;0.000132348;0.000137476;0.000137476;0.000145332;0.000136577;0.000110249;0.000141062;0.000141062;0.000141062;0.000141062;0.000114155;0.000177581;0.000177581
;116;0.000111036;0.00013091;0.000136809;0.000136809;0.000131991;0.00013456;0.000111036;0.000142139;0.000142139;0.000142139;0.000142139;0.000114155;0.000201195;0.000201195
;117;0.000118124;0.000130109;0.0001322;0.0001322;0.000112191;0.000132211;0.000118124;0.000138264;0.000138264;0.000138264;0.000138264;0.000114155;0.000160618;0.000160618
;118;0.000112611;0.000126828;0.000124698;0.000124698;8.38E-05;0.000128681;0.000112611;0.000131656;0.000131656;0.000131656;0.000131656;0.000114155;0.000117593;0.000117593
;119;0.000117336;0.000121857;0.000119312;0.000119312;7.34E-05;0.000122986;0.000117336;0.000124617;0.000124617;0.000124617;0.000124617;0.000114155;9.60E-05;9.60E-05
;120;0.000111036;0.000116007;0.000116595;0.000116595;7.27E-05;0.000119866;0.000111036;0.000121348;0.000121348;0.000121348;0.000121348;0.000114155;7.74E-05;7.74E-05
;121;0.000111036;0.000124634;0.000115131;0.000115131;6.89E-05;0.000117889;0.000111036;0.00011558;0.00011558;0.00011558;0.00011558;0.000114155;6.62E-05;6.62E-05
;122;0.000112611;0.000123527;0.000112899;0.000112899;7.06E-05;0.000117186;0.000112611;0.000112557;0.000112557;0.000112557;0.000112557;0.000114155;6.06E-05;6.06E-05
;123;0.000110249;0.000121034;0.000113129;0.000113129;6.46E-05;0.000115614;0.000110249;0.000110719;0.000110719;0.000110719;0.000110719;0.000114155;5.72E-05;5.72E-05
;124;0.000118124;0.000118664;0.000116207;0.000116207;6.18E-05;0.000117221;0.000118124;0.000114241;0.000114241;0.000114241;0.000114241;0.000114155;5.50E-05;5.50E-05
;125;0.000114186;0.000117462;0.00012346;0.00012346;6.34E-05;0.000121582;0.000114186;0.000115361;0.000115361;0.000115361;0.000115361;0.000114155;5.42E-05;5.42E-05
;126;0.000114974;0.000125014;0.000141293;0.000141293;9.31E-05;0.000129245;0.000114974;0.00012007;0.00012007;0.00012007;0.00012007;0.000114155;5.85E-05;5.85E-05
;127;0.000117336;0.000145478;0.000156595;0.000156595;0.000178887;0.00013647;0.000117336;0.00014596;0.00014596;0.00014596;0.00014596;0.000114155;7.81E-05;7.81E-05
;128;0.000114974;0.000160664;0.000167733;0.000167733;0.000214668;0.000138523;0.000114974;0.000158816;0.000158816;0.000158816;0.000158816;0.000114155;0.000131776;0.000131776
;129;0.000114186;0.000158879;0.000166896;0.000166896;0.000218343;0.000138465;0.000114186;0.000160596;0.000160596;0.000160596;0.000160596;0.000114155;0.00019135;0.00019135
;130;0.000118124;0.000151182;0.000164942;0.000164942;0.000218607;0.000137059;0.000118124;0.000159123;0.000159123;0.000159123;0.000159123;0.000114155;0.000187836;0.000187836
;131;0.000110249;0.00015334;0.000162604;0.000162604;0.000215844;0.000134815;0.000110249;0.000154901;0.000154901;0.000154901;0.000154901;0.000114155;0.000152046;0.000152046
;132;0.000111036;0.000151588;0.000160379;0.000160379;0.000196578;0.000131496;0.000111036;0.000152905;0.000152905;0.000152905;0.000152905;0.000114155;0.000152379;0.000152379
;133;0.000114974;0.000142873;0.000154627;0.000154627;0.000186602;0.000128596;0.000114974;0.000149287;0.000149287;0.000149287;0.000149287;0.000114155;0.000135492;0.000135492
;134;0.000117336;0.000131336;0.000146817;0.000146817;0.000179093;0.000126164;0.000117336;0.000146128;0.000146128;0.000146128;0.000146128;0.000114155;0.000108956;0.000108956
;135;0.000114186;0.00012992;0.000142881;0.000142881;0.000155966;0.000123025;0.000114186;0.000140223;0.000140223;0.000140223;0.000140223;0.000114155;0.000100293;0.000100293
;136;0.000114974;0.000130103;0.000139802;0.000139802;0.000124203;0.000118589;0.000114974;0.000135432;0.000135432;0.000135432;0.000135432;0.000114155;9.67E-05;9.67E-05
;137;0.000117336;0.000135089;0.000134833;0.000134833;9.99E-05;0.000114628;0.000117336;0.000125536;0.000125536;0.000125536;0.000125536;0.000114155;9.90E-05;9.90E-05
;138;0.000112611;0.000133863;0.0001293;0.0001293;8.59E-05;0.000113253;0.000112611;0.000117004;0.000117004;0.000117004;0.000117004;0.000114155;0.000123708;0.000123708
;139;0.000112611;0.00013007;0.000125669;0.000125669;6.07E-05;0.000110467;0.000112611;0.000115082;0.000115082;0.000115082;0.000115082;0.000114155;0.000177581;0.000177581
;140;0.000116549;0.000130093;0.000122335;0.000122335;5.03E-05;0.000107195;0.000116549;0.000112134;0.000112134;0.000112134;0.000112134;0.000114155;0.000201195;0.000201195
;141;0.000111036;0.000128168;0.00011247;0.00011247;4.77E-05;0.000103986;0.000111036;0.000103856;0.000103856;0.000103856;0.000103856;0.000114155;0.000160618;0.000160618
;142;0.000115761;0.000123156;9.90E-05;9.90E-05;4.55E-05;9.96E-05;0.000115761;9.11E-05;9.11E-05;9.11E-05;9.11E-05;0.000114155;0.000117593;0.000117593
;143;0.000112611;0.000121974;9.05E-05;9.05E-05;4.29E-05;9.47E-05;0.000112611;8.53E-05;8.53E-05;8.53E-05;8.53E-05;0.000114155;9.60E-05;9.60E-05
;144;0.000111036;0.000118619;8.74E-05;8.74E-05;3.98E-05;9.02E-05;0.000111036;8.30E-05;8.30E-05;8.30E-05;8.30E-05;0.000114155;7.74E-05;7.74E-05
;145;0.000111036;0.000116413;8.65E-05;8.65E-05;4.06E-05;8.68E-05;0.000111036;8.24E-05;8.24E-05;8.24E-05;8.24E-05;0.000114155;6.62E-05;6.62E-05
;146;0.000116549;0.000113109;8.45E-05;8.45E-05;4.33E-05;8.77E-05;0.000116549;8.09E-05;8.09E-05;8.09E-05;8.09E-05;0.000114155;6.06E-05;6.06E-05
;147;0.000117336;0.000110966;8.39E-05;8.39E-05;3.74E-05;8.56E-05;0.000117336;7.88E-05;7.88E-05;7.88E-05;7.88E-05;0.000114155;5.72E-05;5.72E-05
;148;0.000118124;0.000108683;8.33E-05;8.33E-05;3.16E-05;8.31E-05;0.000118124;7.81E-05;7.81E-05;7.81E-05;7.81E-05;0.000114155;5.50E-05;5.50E-05
;149;0.000117336;0.00010539;8.46E-05;8.46E-05;2.78E-05;8.25E-05;0.000117336;7.60E-05;7.60E-05;7.60E-05;7.60E-05;0.000114155;5.42E-05;5.42E-05
;150;0.000112611;0.00010425;8.54E-05;8.54E-05;2.95E-05;8.30E-05;0.000112611;7.35E-05;7.35E-05;7.35E-05;7.35E-05;0.000114155;5.85E-05;5.85E-05
;151;0.000111036;0.000104154;8.70E-05;8.70E-05;4.80E-05;8.30E-05;0.000111036;7.94E-05;7.94E-05;7.94E-05;7.94E-05;0.000114155;7.81E-05;7.81E-05
;152;0.000114974;0.000102765;8.80E-05;8.80E-05;6.24E-05;8.20E-05;0.000114974;7.98E-05;7.98E-05;7.98E-05;7.98E-05;0.000114155;0.000131776;0.000131776
;153;0.000111036;9.88E-05;8.76E-05;8.76E-05;6.67E-05;8.24E-05;0.000111036;8.08E-05;8.08E-05;8.08E-05;8.08E-05;0.000114155;0.00019135;0.00019135
