,el_ss,el_sl,hc_cc,hc_st,li_st,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57878.66295029857
31,0.0,0.0,0.0,0.0,0.0,431.42774209531314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.000609999999995,5999.110860055198,1299.5151997374126,278.0195,201.8210854796272,62.934017071564206,2204.846923583528,55122.93923193871
32,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.7195211320504,17.933610000000037,5999.110860055198,1298.0278109489082,278.0195,1154.9007762192934,353.29650586440147,2020.982609367849,54642.62464479426
33,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.361274116085,17.780259999999963,5999.110860055198,1280.3498315060228,278.0195,2225.539019295973,653.7084278099787,2096.514762988404,54321.912197320125
34,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.592097445213,17.91904000000005,5999.110860055198,1297.3707100735726,278.0195,3005.4011145878662,840.3987190142406,1890.5642464020555,54498.07359915329
35,0.0,0.0,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.040509999999987,5999.110860055198,1327.6116494862606,278.0195,3330.525051100476,894.8016164138652,1801.347856181083,55486.96612790003
36,96.82899550000084,2376.238949280815,0.0,0.0,0.0,4760.303440589696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.44169999999997,5999.110860055198,1350.7917819676027,278.0195,2885.3831460263496,766.4109364718582,1929.6622692561407,53943.37875426227
37,73.3039575,4896.86506430193,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.204039999999964,5999.110860055198,1343.5056688731827,278.0195,1945.6609047768645,511.545606387882,2300.792383698165,52428.06958140103
38,133.48573099999987,6592.5741171389345,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.14951,5999.110860055198,1332.4418718719153,278.0195,812.6835073870018,198.07714966717785,2172.9446963184478,51352.306209515744
39,112.54567760000015,3894.92335067916,0.0,0.0,0.0,6189.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.96132000000001,5999.110860055198,1344.8851010860888,278.0195,47.95489867377908,8.165602613178576,2169.952055315768,52649.52118489664
40,63.054677999999896,5846.694232560044,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.995880000000042,5999.110860055198,1327.0007474621186,278.0195,0.0,0.0,2504.26834731885,54243.44490023983
41,48.265806099998855,5260.263433080728,0.0,0.0,0.0,6189.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.32291000000001,5999.110860055198,1338.8986204120731,278.0195,0.0,0.0,2554.2698655144504,54971.86570748375
42,19.651918400000238,5346.075179704943,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.241229999999984,5999.110860055198,1357.8765089160127,278.0195,0.0,0.0,2482.480887964154,56517.82807618803
43,0.0,2444.0,0.0,0.0,0.0,6151.062936435399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.15191999999999,5999.110860055198,1365.6447708401722,278.0195,0.0,0.0,2383.608760604974,55375.89249484465
