;bm_st;hy_rs;wi_on;wi_off;so_ro;nu;li_st;hc_cc;ng_cc;hc_st;ng_ce;ng_gt;ng_st;so_op;hy_rr
78;4516;1100;3627;12613;0;7577;12089;6510;7558;0;0;0;0;0;0
79;4524;1093;4232;11942;0;7569;13377;7229;9242;0;0;0;0;0;0
80;4564;1172;5232;11244;100;7587;13559;7690;9906;0;0;0;0;0;0
81;4573;1189;5400;10859;289;7591;14033;7670;10138;0;0;0;0;0;0
82;4585;1178;5834;10397;743;7585;14467;7833;10462;0;0;0;0;0;0
83;4570;1273;5787;10580;1084;7566;14793;7874;10634;0;0;0;0;0;0
84;4586;1457;5706;10590;1198;7566;14273;7750;10708;0;0;0;0;0;0
85;4593;1298;5501;10755;1042;7564;14370;7979;10647;0;0;0;0;0;0
86;4558;1290;5730;10922;686;7562;14405;7729;11098;0;0;0;0;0;0
87;4544;1194;5765;10985;224;7561;14829;7885;11104;0;0;0;0;0;0
88;4584;1392;5764;11103;9;7560;15101;8217;11089;0;0;0;0;0;0
89;4576;1418;5866;10993;0;7564;15262;8421;10851;0;0;0;0;0;0
90;4607;1344;5870;10870;0;7564;15515;8289;10726;0;0;0;0;0;0
91;4625;1245;5835;10788;0;7566;15545;8127;10655;0;0;0;0;0;0
92;4623;1266;5892;10488;0;7566;15547;8131;10440;0;0;0;0;0;0
93;4620;1204;5945;9852;0;7564;15321;7820;10005;0;0;0;0;0;0
94;4612;1271;5956;9281;0;7564;15161;7554;9588;0;0;0;0;0;0
95;4602;1245;6018;9267;0;7564;14999;7341;8852;0;0;0;0;0;0
96;4577;1278;6015;9276;0;7575;14194;6200;6843;0;0;0;0;0;0
97;4558;1281;5803;9211;0;7650;14086;5660;6915;0;0;0;0;0;0
98;4550;1308;5381;9304;0;7683;14075;5519;6658;0;0;0;0;0;0
99;4531;1274;5379;9375;0;7715;14169;5600;6851;0;0;0;0;0;0
100;4512;1269;5364;9333;0;7758;14139;5884;6997;0;0;0;0;0;0
101;4529;1241;5372;9297;0;7801;14567;6592;7881;0;0;0;0;0;0
102;4497;1256;5367;9619;0;7656;14981;7668;9159;0;0;0;0;0;0
103;4518;1242;5356;9335;0;7785;14954;8723;10342;0;0;0;0;0;0
104;4540;1235;5621;9045;100;7793;15017;9343;10797;0;0;0;0;0;0
